"Day","Category","ColorName","ColorHex","Neighborhood","Place","Priority","Borough","AddressExact","Notes"
"Day 3","Activity","Blue","#1976D2","SoHo","SoHo cast-iron district","must-see","Manhattan","SoHo, New York, NY",""
"Day 3","Activity","Blue","#1976D2","Nolita","Nolita / Prince and Elizabeth Streets","nice-to-see","Manhattan","Nolita, New York, NY",""
"Day 3","Activity","Blue","#1976D2","Little Italy","Little Italy / Mulberry Street","must-see","Manhattan","Mulberry St, New York, NY 10013",""
"Day 3","Activity","Blue","#1976D2","Chinatown","Chinatown / Doyers Street / Mott Street","must-see","Manhattan","Doyers St, New York, NY 10013",""
"Day 3","Activity","Blue","#1976D2","Lower East Side","Essex Market","must-see","Manhattan","88 Essex St, New York, NY 10002",""
"Day 3","Activity","Blue","#1976D2","Lower East Side","Tenement Museum","must-see","Manhattan","103 Orchard St, New York, NY 10002",""
"Day 3","Activity","Blue","#1976D2","East Village","Astor Place / Cooper Union / St Mark's Place","must-see","Manhattan","Astor Pl, New York, NY 10003",""
"Day 3","Activity","Blue","#1976D2","Bowery","Bowery / Public Theater","nice-to-see","Manhattan","The Public Theater, 425 Lafayette St, New York, NY 10003",""
"Day 3","Activity","Blue","#1976D2","Greenwich Village","Washington Square Park","must-see","Manhattan","Washington Square, New York, NY 10012",""
"Day 3","Activity","Blue","#1976D2","West Village","Stonewall Inn / Christopher Park / Sheridan Square","must-see","Manhattan","Stonewall National Monument, New York, NY 10014",""
"Day 3","Activity","Blue","#1976D2","West Village","Patchin Place / Gay Street","nice-to-see","Manhattan","Patchin Pl, New York, NY 10014",""
"Day 3","Activity","Blue","#1976D2","Union Square","Union Square / Strand Book Store","nice-to-see","Manhattan","Union Square, New York, NY 10003",""
"Day 3","Food","Orange","#F57C00","Chinatown","Vanessa's Dumpling House","suggestion","Manhattan","118A Eldridge St, New York, NY 10002",""
"Day 3","Food","Orange","#F57C00","Chinatown","Tasty Hand-Pulled Noodles II","suggestion","Manhattan","1 Doyers St, New York, NY 10013",""
"Day 3","Food","Orange","#F57C00","Chinatown","Mei Lai Wah","suggestion","Manhattan","62 Bayard St, New York, NY 10013",""
"Day 3","Food","Orange","#F57C00","LES","Wah Fung No. 1","suggestion","Manhattan","79 Chrystie St, New York, NY 10002",""
"Day 3","Food","Orange","#F57C00","LES","Katz's Delicatessen","suggestion","Manhattan","205 E Houston St, New York, NY 10002",""
"Day 3","Food","Orange","#F57C00","LES","Scarr's Pizza","suggestion","Manhattan","35 Orchard St, New York, NY 10002",""
"Day 3","Food","Orange","#F57C00","Greenwich Village","Mamoun's Falafel","suggestion","Manhattan","119 MacDougal St, New York, NY 10012",""
"Day 3","Food","Orange","#F57C00","West Village","L'Industrie Pizza","suggestion","Manhattan","104 Christopher St, New York, NY 10014",""
"Day 3","Food","Orange","#F57C00","East Village","7th Street Burger","suggestion","Manhattan","91 E 10th St, New York, NY 10003",""
"Day 3","Food","Orange","#F57C00","East Village","Veselka","suggestion","Manhattan","144 2nd Ave, New York, NY 10003",""
